"id","index_name","item_name","index_type","std_index_name","std_item_name","std_type"
"00000f5a4566b394e2e186ce35eb7765","血小板总数(PLT)","全血细胞计数+5分类","sh_item","血小板计数","血液分析","血"
"00004079c0a5868da9aaee9e739eebd5","MRI(单部位)","MRI(单部位)","part_item","单部位（MRI）","（MRI）","\N"
"0000705c67324cfcc2a406f08b2428b8","血型检测(ABO+RH)","血型检测(赠送)","sh_item","血型（ABO|RH）","血型","血"
"000082de5ae87300e720cc313396bc1e","游离甲状腺素(FT4)","甲功(9项)","sh_item","游离四碘甲状腺原氨酸","甲状腺功能","\N"
"000093d84b3cd37be98eee60a1bb43bc","形态\畸形","精液分析","\N","\N","精液分析","\N"
"0000cd36ba8d33dc859abc1e00ab48d7","小结","P53抑癌基因检测套餐(男)(简装电子版","other","小结","基因检测","\N"
"0000cf680277e2963a79747295086347","CA72-4(C)","蛋白芯片检测(女C12)","sh_item","糖链抗原CA724","肿瘤标志物","\N"
"0000f2bfaab6c7fb3410a22c526f7152","AST/ALT","肝功十二项","sh_item","天门冬氨酸氨基转移酶/丙氨酸氨基转移酶","肝功能","血"
"00011f586bd6c3f32165289c6e859eff","血清尿素测定(UREA)","血清尿素测定(URE)(省)","sh_item","尿素","肾功能","血"
"00013285ba4dc09c22071821631f34e4","结膜","眼科检查?外眼、裂隙灯、眼底)","other","结膜","眼科检查","\N"
"000137554b298a3de502c686e5c8e818","血清铁","贫血检测五项","sh_item","铁测定","微量元素测定","血"
"00014ea6fdcc96d8c82eeb1154e38c26","血清尿素测定(UREA)","肾功能3项(UREA.CR.UA)","sh_item","尿素","肾功能","血"
"000208e587ec950c1a95e111871714de","小结","K输尿管超声","part_item","小结","|输尿管|输（超声）","尿"
"00021a28a7ff3ea4ca071a507c30c31a","碱性磷酸酶(ALP)","肝功7项(ALT|AST|GGT|ALP|T-BIL|DBIL|IBIL)","sh_item","碱性磷酸酶","碱性磷酸酶","血"
"000278c2126b4f7b24c63a3e97f996f7","HPV51型(高危型)","(329、332)HPV检测组合","sh_item","人乳头瘤病毒检测HPV","人乳头瘤病毒","\N"
"0002a0b455103050c054d361e99fadef","龋齿","口腔检查(A307)","other","龋齿","口腔检查","\N"
"0002afcb7165b7df26f0e8ae4fc5a6de","甘油三酯","血脂五项需空腹","sh_item","甘油三酯","血脂","血"
"0002c9272041936232ec040c4c22ceb2","脂蛋白相关磷脂酶A2","心梗脑梗三项联检预警","sh_item","载脂蛋白A2","血脂","血"
"0002e2f72093865fc26a35fb249337e1","糖类抗原CA19-9(TM6)","男性肿瘤6项(TM6)","sh_item","糖链抗原CA199","肿瘤标志物","\N"
"0002f78f28304140c7853bd2cc0edf22","过氧化氢","阴道炎五联检(BV)","sh_item","过氧化氢","白带分析","白带"
"00033a6d49690affbde4604372841399","血浆粘度","血流变?项","sh_item","血浆粘度","血流变","血"
"0003c4b8a60fd275bbb0354928a5985a","脾大小","女宾内科","other","脾大小","内科|外科","\N"
"00040f79d80bcf116e5327067fc4c28f","眼球","眼科检查(外眼)","other","眼球","眼科检查","\N"
"00051646b99eac3cfd678eb5d527e585","描述","鼻窦鼻咽CT(备孕、孕禁)不出片","other","描述","耳鼻喉检查","\N"
"0005649483615235d435c48ac974fff1","弓形虫病毒抗体测定(IGM)定性","2018优生优育四项","other","弓型虫抗体测定","优生优育","\N"
"00062992d332ba2371e4dc8e67cc1147","子宫","泌尿系女彩超","part_item","子宫","|泌尿（超声）","\N"
"000676bf8feeff79cc863961c1575fc3","平均血红蛋白浓度(五分类)(MCHC)","血常规-3分类","sh_item","平均血红蛋白浓度","血液分析","血"
"0006b4a2d6f724406d857b469145e1df","游离三碘甲状腺原氨酸(FT3)","甲功六项","sh_item","游离三碘甲状腺原氨酸","甲状腺功能","\N"
"0007148bd6ee12e469fd19a1e2af7e07","脂肪衰减中位数","数字化肝脏超声2楼","part_item","脂肪肝参数","|肝（超声）","\N"
"000737112fdb7a6b542acc9463ea7705","红细胞变形指数","血液流变学(含血沉)","sh_item","红细胞变形指数","血流变","血"
"0007bfc664d88bd8e940f58c8c9060e2","HPV18","HPV25分型","sh_item","人乳头瘤病毒检测HPV","人乳头瘤病毒","\N"
"0007c35b5b9f7a1cef43a35882bbbc70","描述","左膝侧位(DR)","part_item","描述","|左膝|膝（DR）","\N"
"0007c85ddea22e6bcbf6558f00c16400","白蛋白(ALB)","肝功能三项","sh_item","白蛋白","肝功能","血"
"000815064ae67adc2f2d95bcf69486b8","游离前列腺特异性抗原(F-PSA)","肿瘤标志物7项(男)","sh_item","游离前列腺特异性抗原","肿瘤标志物","\N"
"00084ddf961bbb2802093bc34eee214f","心脏杂音","女宾内科","other","心脏杂音","一般检查","\N"
"00086f0985af8cc915ada51703067a28","小结","HPV12+2型检测(0)","other","小结","HPV检测","\N"
"0008a2ef5ded37afee479a6a8ff4e1bf","超敏C反应蛋白(HS-CRP)","心脑血管风险三项(团检2019活动)","sh_item","C反映蛋白（超敏）","C反应蛋白","血"
"0008f5808ecae10d947ba85ab2c99969","肺罗音","内科检查(1)","other","肺罗音","内科|外科","\N"
"00095b5c63521e51ffa907cf6d131a08","右肾","肝胆脾胰?彩超","part_item","肾（右）","|肝|脾|胆|胰（超声）","\N"
"00095bc822ed708915431dac0b799b5c","右肾","腹部彩超(肝、胆、胰、脾、双肾)-无图文","part_item","肾（右）","|肝|脾|腹|胆|肾|双肾|腹部|胰（超声）","\N"
"000965143337e08d3ae05d3ef345e4f0","甲胎蛋白测定(AFP)定量","肿瘤标记物5项(四项+CA199)(男性)","sh_item","甲胎蛋白AFP","肿瘤标志物","血"
